inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.236639348004,0.763360651996
2.0,0.0,0.0,0.938878933236,0.0611210667643
3.0,1.0,1.0,0.174650623704,0.825349376296
4.0,0.0,0.0,0.838797756898,0.161202243102
5.0,1.0,1.0,0.455108054129,0.544891945871
6.0,0.0,0.0,0.910060000412,0.0899399995884
7.0,0.0,1.0,0.205775357328,0.794224642672
8.0,1.0,1.0,0.0350659450075,0.964934054992
9.0,0.0,0.0,0.931210195589,0.0687898044115
10.0,1.0,1.0,0.205775357328,0.794224642672
11.0,1.0,1.0,0.106485815856,0.893514184144
12.0,0.0,0.0,0.795946469551,0.204053530449
13.0,1.0,1.0,0.0283918101423,0.971608189858
14.0,1.0,0.0,0.766853314818,0.233146685182
15.0,0.0,0.0,0.910060000412,0.0899399995884
16.0,1.0,1.0,0.268809414277,0.731190585723
17.0,0.0,0.0,0.910060000412,0.0899399995884
18.0,1.0,1.0,0.205775357328,0.794224642672
19.0,0.0,0.0,0.766853314818,0.233146685182
20.0,1.0,1.0,0.072974316385,0.927025683615
21.0,0.0,0.0,0.910060000412,0.0899399995884
22.0,0.0,0.0,0.838797756898,0.161202243102
23.0,1.0,1.0,0.0489009683638,0.951099031636
24.0,0.0,0.0,0.766853314818,0.233146685182
25.0,0.0,0.0,0.813643335535,0.186356664465
26.0,0.0,0.0,0.766853314818,0.233146685182
27.0,0.0,0.0,0.910060000412,0.0899399995884
28.0,0.0,0.0,0.910060000412,0.0899399995884
29.0,0.0,0.0,0.931210195589,0.0687898044115
30.0,0.0,0.0,0.938878933236,0.0611210667643
31.0,0.0,0.0,0.910060000412,0.0899399995884
32.0,1.0,1.0,0.0350659450075,0.964934054992
33.0,1.0,1.0,0.0293693806508,0.970630619349
34.0,1.0,0.0,0.766853314818,0.233146685182
35.0,0.0,0.0,0.838797756898,0.161202243102
36.0,0.0,0.0,0.910060000412,0.0899399995884
37.0,1.0,0.0,0.55835982328,0.44164017672
38.0,0.0,0.0,0.586646604542,0.413353395458
39.0,1.0,0.0,0.763182977988,0.236817022012
40.0,1.0,1.0,0.205775357328,0.794224642672
41.0,0.0,0.0,0.910060000412,0.0899399995884
42.0,1.0,1.0,0.264918202331,0.735081797669
43.0,1.0,1.0,0.0820003672256,0.917999632774
44.0,1.0,1.0,0.121673167265,0.878326832735
45.0,1.0,1.0,0.0111074294,0.9888925706
46.0,1.0,1.0,0.205775357328,0.794224642672
47.0,1.0,1.0,0.0111074294,0.9888925706
48.0,1.0,0.0,0.85382496587,0.14617503413
49.0,1.0,1.0,0.486590171411,0.513409828589
50.0,1.0,1.0,0.100553530979,0.899446469021
51.0,0.0,0.0,0.931210195589,0.0687898044115
52.0,1.0,1.0,0.106485815856,0.893514184144
53.0,1.0,1.0,0.205775357328,0.794224642672
54.0,1.0,1.0,0.205775357328,0.794224642672
55.0,0.0,0.0,0.687155823427,0.312844176573
56.0,1.0,1.0,0.0293693806508,0.970630619349
57.0,0.0,0.0,0.910060000412,0.0899399995884
58.0,1.0,1.0,0.311302285068,0.688697714932
59.0,0.0,0.0,0.931210195589,0.0687898044115
60.0,0.0,0.0,0.766853314818,0.233146685182
61.0,0.0,0.0,0.766853314818,0.233146685182
62.0,0.0,0.0,0.766853314818,0.233146685182
63.0,1.0,1.0,0.123814742081,0.876185257919
64.0,1.0,1.0,0.236639348004,0.763360651996
65.0,1.0,1.0,0.352972212098,0.647027787902
66.0,1.0,1.0,0.0350659450075,0.964934054992
67.0,1.0,0.0,0.586646604542,0.413353395458
68.0,1.0,0.0,0.766853314818,0.233146685182
69.0,0.0,0.0,0.838797756898,0.161202243102
70.0,0.0,0.0,0.938878933236,0.0611210667643
71.0,0.0,0.0,0.910060000412,0.0899399995884
72.0,1.0,1.0,0.0776780739538,0.922321926046
73.0,0.0,0.0,0.813643335535,0.186356664465
74.0,1.0,1.0,0.205775357328,0.794224642672
75.0,0.0,0.0,0.910060000412,0.0899399995884
76.0,0.0,0.0,0.766853314818,0.233146685182
77.0,0.0,0.0,0.900398265806,0.0996017341942
78.0,0.0,0.0,0.972677392041,0.027322607959
79.0,1.0,0.0,0.766853314818,0.233146685182
80.0,0.0,0.0,0.91988372156,0.0801162784395
81.0,0.0,0.0,0.910060000412,0.0899399995884
82.0,1.0,0.0,0.838797756898,0.161202243102
83.0,0.0,0.0,0.972677392041,0.027322607959
84.0,0.0,0.0,0.931210195589,0.0687898044115
85.0,0.0,0.0,0.766853314818,0.233146685182
86.0,0.0,0.0,0.931210195589,0.0687898044115
87.0,0.0,0.0,0.838797756898,0.161202243102
88.0,0.0,0.0,0.938878933236,0.0611210667643
89.0,1.0,1.0,0.236668710381,0.763331289619
90.0,0.0,0.0,0.910060000412,0.0899399995884
91.0,0.0,0.0,0.586646604542,0.413353395458
92.0,0.0,0.0,0.91988372156,0.0801162784395
93.0,0.0,0.0,0.910060000412,0.0899399995884
94.0,1.0,1.0,0.205775357328,0.794224642672
95.0,0.0,0.0,0.931210195589,0.0687898044115
96.0,0.0,0.0,0.5116154122,0.4883845878
97.0,0.0,0.0,0.910060000412,0.0899399995884
98.0,1.0,1.0,0.0350659450075,0.964934054992
99.0,0.0,0.0,0.910060000412,0.0899399995884
100.0,0.0,0.0,0.931210195589,0.0687898044115
101.0,0.0,0.0,0.85382496587,0.14617503413
102.0,1.0,0.0,0.687155823427,0.312844176573
103.0,0.0,0.0,0.910060000412,0.0899399995884
