inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.06,0.94
2.0,0.0,0.0,1.0,0.0
3.0,1.0,1.0,0.14,0.86
4.0,0.0,0.0,1.0,0.0
5.0,1.0,1.0,0.03,0.97
6.0,0.0,0.0,1.0,0.0
7.0,0.0,1.0,0.22,0.78
8.0,1.0,1.0,0.0,1.0
9.0,0.0,1.0,0.32,0.68
10.0,1.0,1.0,0.0,1.0
11.0,1.0,1.0,0.0,1.0
12.0,0.0,0.0,0.65,0.35
13.0,1.0,1.0,0.01,0.99
14.0,1.0,1.0,0.24,0.76
15.0,0.0,0.0,0.98,0.02
16.0,1.0,1.0,0.15,0.85
17.0,0.0,0.0,1.0,0.0
18.0,1.0,1.0,0.01,0.99
19.0,0.0,0.0,0.95,0.05
20.0,1.0,1.0,0.0,1.0
21.0,0.0,0.0,0.98,0.02
22.0,0.0,0.0,1.0,0.0
23.0,1.0,1.0,0.15,0.85
24.0,0.0,0.0,0.98,0.02
25.0,0.0,0.0,0.77,0.23
26.0,0.0,0.0,0.99,0.01
27.0,0.0,0.0,0.88,0.12
28.0,0.0,0.0,0.99,0.01
29.0,0.0,0.0,1.0,0.0
30.0,0.0,0.0,0.9,0.1
31.0,0.0,0.0,1.0,0.0
32.0,1.0,1.0,0.03,0.97
33.0,1.0,1.0,0.04,0.96
34.0,1.0,1.0,0.13,0.87
35.0,0.0,0.0,1.0,0.0
36.0,0.0,0.0,1.0,0.0
37.0,1.0,1.0,0.13,0.87
38.0,0.0,0.0,0.99,0.01
39.0,1.0,0.0,0.51,0.49
40.0,1.0,1.0,0.0,1.0
41.0,0.0,0.0,1.0,0.0
42.0,1.0,1.0,0.14,0.86
43.0,1.0,1.0,0.01,0.99
44.0,1.0,1.0,0.24,0.76
45.0,1.0,1.0,0.13,0.87
46.0,1.0,1.0,0.0,1.0
47.0,1.0,1.0,0.0,1.0
48.0,1.0,0.0,0.99,0.01
49.0,1.0,1.0,0.15,0.85
50.0,1.0,1.0,0.01,0.99
51.0,0.0,0.0,1.0,0.0
52.0,1.0,1.0,0.05,0.95
53.0,1.0,1.0,0.03,0.97
54.0,1.0,1.0,0.0,1.0
55.0,0.0,0.0,0.51,0.49
56.0,1.0,1.0,0.0,1.0
57.0,0.0,0.0,1.0,0.0
58.0,1.0,1.0,0.07,0.93
59.0,0.0,0.0,0.93,0.07
60.0,0.0,0.0,0.96,0.04
61.0,0.0,0.0,0.77,0.23
62.0,0.0,0.0,0.87,0.13
63.0,1.0,1.0,0.11,0.89
64.0,1.0,1.0,0.03,0.97
65.0,1.0,1.0,0.02,0.98
66.0,1.0,1.0,0.04,0.96
67.0,1.0,1.0,0.1,0.9
68.0,1.0,0.0,0.94,0.06
69.0,0.0,0.0,0.92,0.08
70.0,0.0,0.0,0.96,0.04
71.0,0.0,0.0,0.91,0.09
72.0,1.0,1.0,0.01,0.99
73.0,0.0,0.0,0.86,0.14
74.0,1.0,1.0,0.0,1.0
75.0,0.0,0.0,0.96,0.04
76.0,0.0,0.0,0.97,0.03
77.0,0.0,0.0,0.77,0.23
78.0,0.0,0.0,1.0,0.0
79.0,1.0,0.0,0.97,0.03
80.0,0.0,0.0,0.96,0.04
81.0,0.0,0.0,0.99,0.01
82.0,1.0,0.0,0.78,0.22
83.0,0.0,0.0,1.0,0.0
84.0,0.0,0.0,1.0,0.0
85.0,0.0,0.0,0.99,0.01
86.0,0.0,0.0,1.0,0.0
87.0,0.0,0.0,1.0,0.0
88.0,0.0,0.0,0.99,0.01
89.0,1.0,1.0,0.11,0.89
90.0,0.0,0.0,1.0,0.0
91.0,0.0,0.0,0.99,0.01
92.0,0.0,0.0,1.0,0.0
93.0,0.0,0.0,0.99,0.01
94.0,1.0,1.0,0.0,1.0
95.0,0.0,0.0,0.82,0.18
96.0,0.0,0.0,0.59,0.41
97.0,0.0,0.0,0.98,0.02
98.0,1.0,1.0,0.07,0.93
99.0,0.0,0.0,1.0,0.0
100.0,0.0,0.0,1.0,0.0
101.0,0.0,0.0,0.99,0.01
102.0,1.0,1.0,0.05,0.95
103.0,0.0,0.0,0.98,0.02
104.0,1.0,1.0,0.0,1.0
105.0,0.0,0.0,1.0,0.0
106.0,1.0,1.0,0.05,0.95
107.0,0.0,0.0,1.0,0.0
108.0,0.0,0.0,0.98,0.02
