inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,1.38561436994e-135,1.0
2.0,1.0,1.0,1.89061827687e-71,1.0
3.0,1.0,1.0,2.27226738894e-134,1.0
4.0,1.0,1.0,4.21752446306e-179,1.0
5.0,1.0,1.0,7.17580291852e-222,1.0
6.0,0.0,0.0,1.0,3.52514589336e-144
7.0,1.0,1.0,3.3141086181e-219,1.0
8.0,0.0,0.0,1.0,3.87975718786e-157
9.0,0.0,1.0,5.65019245379e-139,1.0
10.0,0.0,0.0,1.0,8.46406234191e-95
11.0,1.0,1.0,4.67813586923e-160,1.0
12.0,0.0,0.0,1.0,3.09198229162e-116
13.0,0.0,0.0,1.0,5.26754796719e-151
14.0,1.0,1.0,6.69952244258e-80,1.0
15.0,1.0,1.0,1.61027738853e-232,1.0
16.0,1.0,1.0,7.77902979545e-169,1.0
17.0,1.0,1.0,2.71629757166e-61,1.0
18.0,0.0,1.0,8.33633045789e-08,0.999999916637
19.0,0.0,0.0,1.0,1.01868638979e-53
20.0,0.0,0.0,1.0,2.01991895793e-148
21.0,0.0,0.0,1.0,1.86338052088e-74
22.0,0.0,0.0,1.0,1.21656329872e-152
23.0,0.0,0.0,1.0,1.12792732532e-148
24.0,0.0,0.0,1.0,1.79339886953e-88
25.0,1.0,1.0,4.38616774528e-200,1.0
26.0,0.0,0.0,1.0,5.34723180091e-136
27.0,1.0,1.0,2.91257675277e-129,1.0
28.0,1.0,0.0,1.0,4.08449951165e-144
29.0,0.0,0.0,1.0,3.75424229666e-151
30.0,1.0,1.0,7.7342725054e-189,1.0
31.0,1.0,1.0,1.60522116394e-206,1.0
32.0,1.0,1.0,1.56603073281e-235,1.0
33.0,1.0,1.0,3.11122578907e-217,1.0
34.0,0.0,0.0,1.0,1.17516527099e-77
35.0,0.0,0.0,1.0,2.68105214817e-153
36.0,1.0,1.0,2.11086556116e-151,1.0
37.0,0.0,0.0,1.0,3.36746407569e-150
38.0,1.0,1.0,3.50390175591e-152,1.0
39.0,0.0,0.0,1.0,8.3098647831e-40
40.0,1.0,1.0,1.9581664993e-190,1.0
41.0,0.0,0.0,1.0,1.86801401402e-152
42.0,1.0,0.0,1.0,2.47764311435e-70
43.0,1.0,1.0,5.2612556785e-171,1.0
44.0,0.0,0.0,1.0,3.59786747488e-56
45.0,0.0,0.0,1.0,3.21824830185e-149
46.0,0.0,0.0,1.0,1.47957173103e-152
47.0,0.0,0.0,1.0,8.76784123739e-152
48.0,0.0,0.0,1.0,3.49845061283e-143
49.0,0.0,0.0,1.0,2.07947375579e-152
50.0,0.0,0.0,1.0,5.71551901379e-128
51.0,1.0,1.0,2.67694783012e-242,1.0
52.0,1.0,1.0,9.30153571839e-184,1.0
53.0,0.0,0.0,1.0,5.59228001869e-144
54.0,0.0,0.0,1.0,1.08400984367e-150
55.0,0.0,0.0,0.999999999651,3.48524122265e-10
56.0,0.0,0.0,1.0,1.61598717073e-79
57.0,0.0,0.0,1.0,2.26638933819e-140
58.0,1.0,1.0,1.43037911984e-145,1.0
59.0,0.0,0.0,1.0,1.34945214068e-149
60.0,0.0,0.0,1.0,2.170460957e-111
61.0,1.0,1.0,8.2025566761e-176,1.0
62.0,0.0,0.0,1.0,1.40596242417e-147
63.0,1.0,0.0,1.0,1.01065565301e-101
64.0,1.0,1.0,5.16641777013e-137,1.0
65.0,1.0,0.0,0.998952752411,0.00104724758912
66.0,1.0,0.0,1.0,7.5548051298e-87
67.0,1.0,1.0,2.37806191002e-195,1.0
68.0,1.0,1.0,8.06851013888e-205,1.0
69.0,1.0,1.0,1.45006016837e-46,1.0
70.0,0.0,0.0,1.0,3.64384065117e-134
71.0,0.0,0.0,1.0,6.70963051423e-149
72.0,0.0,0.0,1.0,9.1111250819e-145
73.0,1.0,1.0,1.57738760623e-161,1.0
74.0,0.0,0.0,1.0,2.2251463049e-58
75.0,0.0,0.0,1.0,1.91133159174e-148
76.0,0.0,0.0,1.0,2.56882573589e-150
77.0,0.0,0.0,1.0,1.36613448587e-60
78.0,1.0,1.0,4.21875998468e-139,1.0
79.0,1.0,1.0,2.03028897109e-41,1.0
80.0,0.0,0.0,1.0,1.40378096937e-145
81.0,0.0,0.0,1.0,3.43183888142e-129
82.0,0.0,0.0,1.0,8.8190473367e-124
83.0,1.0,1.0,8.35871354871e-212,1.0
84.0,1.0,1.0,3.60181260003e-157,1.0
85.0,1.0,1.0,5.95351885483e-197,1.0
86.0,0.0,0.0,1.0,7.30137859056e-138
87.0,1.0,1.0,1.19785314184e-184,1.0
88.0,1.0,1.0,4.4112254946e-193,1.0
89.0,0.0,0.0,1.0,5.16433093421e-142
90.0,0.0,0.0,1.0,6.46852477187e-147
91.0,1.0,1.0,2.48830710592e-185,1.0
92.0,0.0,0.0,1.0,9.08085538225e-64
93.0,0.0,0.0,1.0,4.20407682926e-306
94.0,0.0,0.0,1.0,3.77192185028e-153
95.0,0.0,1.0,1.23753482878e-90,1.0
96.0,1.0,1.0,1.63280435251e-53,1.0
97.0,1.0,1.0,5.96926426007e-245,1.0
98.0,0.0,1.0,4.50126348393e-121,1.0
99.0,0.0,0.0,1.0,1.15849269912e-152
100.0,1.0,1.0,3.82123119536e-205,1.0
101.0,0.0,1.0,5.80208135379e-20,1.0
102.0,1.0,1.0,4.93343555225e-228,1.0
103.0,0.0,0.0,1.0,9.2906093238e-149
104.0,1.0,0.0,1.0,7.30762742657e-32
105.0,0.0,0.0,1.0,7.64722777825e-147
106.0,0.0,0.0,1.0,5.86521828998e-116
107.0,1.0,1.0,4.27229658913e-210,1.0
108.0,0.0,0.0,1.0,1.59769815613e-152
109.0,0.0,0.0,1.0,1.62326622705e-123
110.0,1.0,1.0,1.05962615293e-159,1.0
111.0,0.0,1.0,2.08632362473e-182,1.0
112.0,1.0,1.0,7.24710349997e-168,1.0
113.0,0.0,0.0,1.0,1.67844809244e-125
114.0,1.0,1.0,1.15392747143e-134,1.0
115.0,0.0,0.0,1.0,1.1376090177e-144
116.0,0.0,0.0,1.0,2.50507282448e-150
117.0,0.0,0.0,1.0,2.61033150148e-105
118.0,0.0,1.0,8.32007895808e-186,1.0
119.0,1.0,1.0,4.24036911031e-225,1.0
120.0,0.0,0.0,1.0,7.03871894698e-156
121.0,0.0,0.0,1.0,2.54085892852e-153
122.0,0.0,0.0,1.0,3.22126703329e-141
123.0,0.0,0.0,1.0,6.51799667546e-143
124.0,1.0,1.0,7.04033543962e-243,1.0
125.0,0.0,1.0,3.99324308355e-42,1.0
126.0,0.0,0.0,1.0,1.55125687478e-134
127.0,0.0,1.0,6.13051317717e-52,1.0
128.0,1.0,1.0,1.4112804102e-249,1.0
129.0,0.0,0.0,1.0,2.5312498527e-136
130.0,1.0,1.0,3.88725718398e-197,1.0
131.0,1.0,1.0,1.69705442987e-18,1.0
132.0,0.0,0.0,1.0,2.76015131322e-150
133.0,0.0,0.0,1.0,2.21065054595e-217
134.0,1.0,1.0,2.58762286543e-118,1.0
135.0,1.0,1.0,1.64852955371e-177,1.0
136.0,1.0,1.0,2.42433270455e-65,1.0
137.0,1.0,1.0,4.86411182331e-188,1.0
138.0,0.0,0.0,1.0,5.71922469249e-139
139.0,0.0,0.0,1.0,5.45762747607e-155
140.0,0.0,0.0,1.0,4.52156782297e-98
141.0,1.0,1.0,4.37632113354e-51,1.0
142.0,1.0,1.0,1.75461555672e-182,1.0
143.0,0.0,0.0,1.0,8.50255454026e-58
144.0,0.0,0.0,1.0,1.69039153459e-141
145.0,0.0,0.0,1.0,1.42323632513e-131
146.0,0.0,0.0,1.0,1.79054762888e-146
147.0,0.0,0.0,1.0,1.29385466415e-64
148.0,0.0,0.0,1.0,3.27811767034e-99
149.0,1.0,1.0,3.76642884922e-187,1.0
150.0,1.0,1.0,1.85644637203e-198,1.0
151.0,1.0,1.0,1.53187435587e-56,1.0
152.0,1.0,1.0,4.5375517296e-234,1.0
153.0,0.0,0.0,1.0,7.94865435678e-134
154.0,1.0,0.0,1.0,2.822667164e-145
155.0,1.0,1.0,3.21929211767e-203,1.0
156.0,1.0,1.0,2.14423977433e-130,1.0
157.0,1.0,1.0,6.01505641446e-132,1.0
158.0,1.0,0.0,1.0,9.59818610363e-144
159.0,1.0,1.0,6.25683876167e-149,1.0
160.0,0.0,0.0,1.0,2.70006910151e-148
161.0,1.0,0.0,0.999999998263,1.73711006951e-09
162.0,1.0,1.0,1.02974305655e-17,1.0
163.0,0.0,0.0,1.0,2.5479012881e-130
164.0,1.0,1.0,1.009644452e-74,1.0
165.0,0.0,0.0,1.0,3.00616231162e-150
166.0,0.0,0.0,1.0,1.40661143081e-150
167.0,0.0,1.0,1.06113449307e-41,1.0
168.0,1.0,1.0,2.60023778073e-239,1.0
169.0,1.0,1.0,3.05480414141e-167,1.0
170.0,1.0,1.0,1.0662462214e-128,1.0
171.0,0.0,0.0,1.0,1.30665611081e-150
172.0,1.0,1.0,1.49865614609e-170,1.0
173.0,0.0,0.0,1.0,2.19013208991e-147
174.0,0.0,0.0,1.0,4.71811133528e-141
175.0,0.0,0.0,1.0,2.13143083147e-148
176.0,0.0,0.0,1.0,3.13878055704e-147
177.0,1.0,1.0,5.58122139937e-21,1.0
178.0,0.0,0.0,1.0,2.22944844029e-145
179.0,0.0,0.0,1.0,8.9427850785e-128
180.0,1.0,1.0,2.29059803907e-117,1.0
181.0,0.0,1.0,9.87633452181e-178,1.0
182.0,0.0,0.0,0.999999861915,1.38084959684e-07
183.0,1.0,0.0,1.0,1.24204311193e-81
184.0,1.0,1.0,5.64217426365e-132,1.0
185.0,1.0,1.0,1.273480236e-232,1.0
186.0,1.0,1.0,2.53336251354e-131,1.0
187.0,0.0,0.0,1.0,2.28368286141e-125
188.0,0.0,0.0,1.0,8.98804076758e-154
189.0,1.0,1.0,4.63411903162e-236,1.0
190.0,1.0,1.0,1.15552121785e-221,1.0
191.0,1.0,1.0,1.68981511988e-199,1.0
192.0,0.0,0.0,1.0,7.38483300488e-222
193.0,0.0,0.0,1.0,1.23185969732e-72
194.0,0.0,0.0,1.0,1.34856912991e-149
195.0,1.0,1.0,1.39167044832e-186,1.0
196.0,0.0,0.0,1.0,6.93380214536e-127
197.0,1.0,1.0,9.9502085356e-187,1.0
198.0,0.0,0.0,1.0,8.22613191304e-142
199.0,0.0,0.0,1.0,7.65612769223e-218
200.0,0.0,0.0,1.0,9.45117455544e-151
201.0,0.0,1.0,5.07250913259e-25,1.0
