inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,1.0,1.0,0.02,0.98
2.0,1.0,1.0,0.04,0.96
3.0,1.0,1.0,0.0,1.0
4.0,1.0,1.0,0.0,1.0
5.0,1.0,1.0,0.01,0.99
6.0,0.0,0.0,1.0,0.0
7.0,1.0,1.0,0.0,1.0
8.0,0.0,0.0,0.99,0.01
9.0,0.0,1.0,0.16,0.84
10.0,0.0,0.0,0.99,0.01
11.0,1.0,1.0,0.02,0.98
12.0,0.0,0.0,0.95,0.05
13.0,0.0,0.0,0.96,0.04
14.0,1.0,1.0,0.08,0.92
15.0,1.0,1.0,0.0,1.0
16.0,1.0,1.0,0.04,0.96
17.0,1.0,1.0,0.22,0.78
18.0,0.0,0.0,0.85,0.15
19.0,0.0,0.0,0.95,0.05
20.0,0.0,0.0,1.0,0.0
21.0,0.0,0.0,0.96,0.04
22.0,0.0,0.0,1.0,0.0
23.0,0.0,0.0,1.0,0.0
24.0,0.0,0.0,0.76,0.24
25.0,1.0,1.0,0.1,0.9
26.0,0.0,0.0,0.82,0.18
27.0,1.0,1.0,0.03,0.97
28.0,1.0,0.0,0.66,0.34
29.0,0.0,0.0,1.0,0.0
30.0,1.0,1.0,0.02,0.98
31.0,1.0,1.0,0.0,1.0
32.0,1.0,1.0,0.0,1.0
33.0,1.0,1.0,0.01,0.99
34.0,0.0,0.0,0.97,0.03
35.0,0.0,0.0,1.0,0.0
36.0,1.0,1.0,0.04,0.96
37.0,0.0,0.0,1.0,0.0
38.0,1.0,1.0,0.05,0.95
39.0,0.0,0.0,0.92,0.08
40.0,1.0,1.0,0.1,0.9
41.0,0.0,0.0,0.99,0.01
42.0,1.0,1.0,0.36,0.64
43.0,1.0,1.0,0.18,0.82
44.0,0.0,0.0,0.98,0.02
45.0,0.0,0.0,1.0,0.0
46.0,0.0,0.0,1.0,0.0
47.0,0.0,0.0,1.0,0.0
48.0,0.0,0.0,0.99,0.01
49.0,0.0,0.0,1.0,0.0
50.0,0.0,0.0,0.97,0.03
51.0,1.0,1.0,0.0,1.0
52.0,1.0,1.0,0.01,0.99
53.0,0.0,0.0,0.99,0.01
54.0,0.0,0.0,1.0,0.0
55.0,0.0,0.0,0.92,0.08
56.0,0.0,0.0,0.99,0.01
57.0,0.0,0.0,0.94,0.06
58.0,1.0,1.0,0.01,0.99
59.0,0.0,0.0,0.99,0.01
60.0,0.0,0.0,1.0,0.0
61.0,1.0,1.0,0.0,1.0
62.0,0.0,0.0,0.97,0.03
63.0,1.0,0.0,0.68,0.32
64.0,1.0,1.0,0.01,0.99
65.0,1.0,1.0,0.21,0.79
66.0,1.0,1.0,0.29,0.71
67.0,1.0,1.0,0.04,0.96
68.0,1.0,1.0,0.0,1.0
69.0,1.0,0.0,0.58,0.42
70.0,0.0,0.0,1.0,0.0
71.0,0.0,0.0,0.98,0.02
72.0,0.0,0.0,0.95,0.05
73.0,1.0,1.0,0.05,0.95
74.0,0.0,0.0,0.78,0.22
75.0,0.0,0.0,0.98,0.02
76.0,0.0,0.0,0.99,0.01
