inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,1.0,1.80437652017e-72,1.0
2.0,0.0,0.0,0.999934947345,6.50526545127e-05
3.0,1.0,1.0,9.17800788232e-145,1.0
4.0,0.0,0.0,1.0,3.22365351076e-103
5.0,1.0,1.0,5.01163408867e-85,1.0
6.0,0.0,1.0,1.4327005249e-70,1.0
7.0,1.0,1.0,7.29800520458e-110,1.0
8.0,0.0,0.0,1.0,1.37561586896e-37
9.0,0.0,0.0,1.0,1.10839002381e-73
10.0,0.0,1.0,5.13552295929e-79,1.0
11.0,1.0,1.0,2.04088315174e-119,1.0
12.0,0.0,0.0,1.0,2.96661078413e-87
13.0,0.0,0.0,1.0,3.97282465352e-54
14.0,0.0,0.0,1.0,2.20520935383e-204
15.0,0.0,0.0,1.0,5.42773224846e-56
16.0,0.0,0.0,1.0,1.31774503153e-216
17.0,1.0,1.0,1.109875165e-165,1.0
18.0,0.0,0.0,0.999999999981,1.92184546694e-11
19.0,0.0,0.0,1.0,3.16164339988e-168
20.0,1.0,1.0,3.22429450235e-37,1.0
21.0,0.0,0.0,1.0,5.94421984625e-132
22.0,1.0,1.0,4.35766062965e-60,1.0
23.0,0.0,0.0,1.0,1.06907739259e-91
24.0,0.0,0.0,1.0,1.04391547987e-71
25.0,0.0,0.0,1.0,4.37941834874e-227
26.0,1.0,1.0,3.73093230037e-123,1.0
27.0,0.0,0.0,1.0,1.38387701662e-172
28.0,0.0,1.0,1.29351494981e-29,1.0
29.0,1.0,1.0,4.91653227081e-161,1.0
30.0,0.0,0.0,1.0,1.81127568119e-37
31.0,0.0,0.0,1.0,1.18720544063e-42
32.0,0.0,0.0,0.999998571165,1.42883452162e-06
33.0,1.0,1.0,1.51758436981e-37,1.0
34.0,0.0,0.0,1.0,5.74468096427e-79
35.0,1.0,1.0,5.40393872937e-74,1.0
36.0,0.0,0.0,1.0,1.29989831849e-197
37.0,1.0,1.0,4.36157253809e-53,1.0
38.0,0.0,0.0,1.0,1.62480446477e-34
39.0,1.0,1.0,1.05305910261e-118,1.0
40.0,1.0,1.0,1.69468533373e-218,1.0
41.0,1.0,1.0,4.15560245756e-96,1.0
42.0,1.0,1.0,2.54525585399e-124,1.0
43.0,1.0,0.0,1.0,4.96947373176e-24
44.0,0.0,0.0,1.0,2.42468062289e-26
45.0,0.0,0.0,1.0,1.661740721e-76
46.0,1.0,0.0,1.0,1.62435364735e-13
47.0,0.0,0.0,1.0,1.12578573359e-65
48.0,0.0,0.0,1.0,9.24218015002e-39
49.0,1.0,1.0,2.47953779187e-88,1.0
50.0,1.0,1.0,1.17947346946e-122,1.0
51.0,1.0,1.0,9.22385448431e-121,1.0
52.0,0.0,0.0,1.0,1.86689346113e-226
53.0,0.0,0.0,1.0,2.03916642383e-219
54.0,0.0,0.0,1.0,2.76130712503e-69
55.0,0.0,0.0,1.0,2.53705303431e-73
56.0,1.0,1.0,1.26701943645e-164,1.0
57.0,0.0,1.0,2.78973579461e-21,1.0
58.0,0.0,0.0,1.0,1.76683966201e-191
59.0,0.0,0.0,1.0,2.26332215814e-199
60.0,1.0,0.0,1.0,1.2021726898e-33
61.0,1.0,1.0,4.85050326081e-131,1.0
62.0,0.0,0.0,1.0,4.47223766081e-54
63.0,1.0,0.0,1.0,1.85377625436e-54
64.0,0.0,0.0,1.0,1.360542323e-226
65.0,1.0,1.0,1.64854983936e-139,1.0
66.0,0.0,0.0,1.0,8.20932692167e-218
67.0,1.0,1.0,1.56058356649e-160,1.0
68.0,1.0,1.0,1.81113610057e-141,1.0
69.0,0.0,0.0,1.0,4.41557765585e-205
70.0,0.0,0.0,1.0,2.6236213388e-220
71.0,0.0,0.0,1.0,7.68871644877e-177
72.0,0.0,0.0,1.0,4.81754816981e-203
73.0,0.0,0.0,1.0,1.76563606701e-76
74.0,0.0,0.0,1.0,6.08193488733e-18
75.0,0.0,0.0,1.0,2.3810628897e-56
76.0,1.0,0.0,1.0,7.59658555546e-38
77.0,0.0,0.0,1.0,1.07178230998e-216
78.0,0.0,0.0,1.0,2.75733998807e-128
79.0,1.0,1.0,9.01145719125e-29,1.0
80.0,1.0,1.0,3.1001128871e-63,1.0
81.0,1.0,1.0,1.9735785062e-166,1.0
82.0,0.0,0.0,1.0,2.49952486589e-145
83.0,1.0,1.0,2.13481688058e-76,1.0
84.0,0.0,1.0,7.77389292047e-124,1.0
85.0,1.0,1.0,6.76604614935e-89,1.0
86.0,1.0,1.0,3.54011430282e-92,1.0
87.0,1.0,1.0,1.01331539142e-127,1.0
88.0,1.0,1.0,5.30507520051e-81,1.0
89.0,0.0,1.0,1.97087182913e-05,0.999980291282
90.0,0.0,1.0,6.24555821694e-65,1.0
91.0,0.0,0.0,1.0,1.9780671069e-93
92.0,0.0,0.0,1.0,2.65932995153e-54
93.0,0.0,0.0,1.0,1.07276089425e-226
94.0,0.0,1.0,2.34831920983e-66,1.0
95.0,0.0,0.0,1.0,3.92392754864e-75
96.0,0.0,0.0,1.0,8.4159617197e-88
97.0,1.0,1.0,1.9735785062e-166,1.0
98.0,0.0,0.0,1.0,7.07674003225e-206
99.0,1.0,1.0,1.32326192688e-41,1.0
100.0,1.0,1.0,1.85639896324e-131,1.0
101.0,1.0,1.0,1.699911808e-108,1.0
102.0,1.0,1.0,3.41361937589e-57,1.0
103.0,0.0,0.0,1.0,1.03498167914e-204
104.0,0.0,0.0,1.0,8.47896450927e-37
105.0,0.0,1.0,5.97315845575e-47,1.0
106.0,0.0,0.0,1.0,5.51830861956e-18
107.0,0.0,0.0,1.0,9.16497711458e-15
108.0,1.0,1.0,1.5999548467e-82,1.0
109.0,0.0,0.0,1.0,3.61996200631e-66
110.0,1.0,1.0,1.92446121291e-103,1.0
111.0,1.0,1.0,4.15294202727e-71,1.0
112.0,0.0,0.0,1.0,5.21294149484e-203
113.0,0.0,0.0,1.0,6.03634921421e-225
114.0,0.0,1.0,0.000166373220437,0.99983362678
115.0,1.0,1.0,4.10783004641e-132,1.0
116.0,0.0,0.0,1.0,7.78419566813e-39
117.0,0.0,0.0,1.0,4.66601335678e-65
118.0,1.0,1.0,1.30953321739e-153,1.0
119.0,1.0,0.0,0.999993465983,6.53401686014e-06
120.0,0.0,0.0,1.0,4.92299695546e-66
121.0,1.0,1.0,2.01988268493e-125,1.0
122.0,0.0,0.0,1.0,1.22557038957e-62
123.0,1.0,0.0,1.0,6.5344844505e-85
124.0,0.0,1.0,3.61439519079e-115,1.0
125.0,0.0,1.0,7.44603302515e-79,1.0
126.0,0.0,0.0,1.0,1.46505681949e-62
127.0,0.0,0.0,1.0,4.43004992117e-55
128.0,0.0,0.0,1.0,1.34356963313e-29
129.0,0.0,0.0,1.0,1.31535948476e-21
130.0,1.0,1.0,1.04407715647e-143,1.0
131.0,1.0,1.0,8.1011589693e-142,1.0
132.0,0.0,1.0,8.40350185936e-72,1.0
133.0,0.0,0.0,1.0,1.08837430682e-44
134.0,1.0,0.0,1.0,1.2118355616e-71
135.0,0.0,0.0,1.0,7.01618028612e-65
136.0,0.0,0.0,1.0,2.87107154109e-63
137.0,1.0,0.0,1.0,1.12275782739e-28
138.0,0.0,0.0,1.0,7.6703124016e-206
139.0,1.0,1.0,1.38881516671e-53,1.0
140.0,1.0,1.0,2.44628300653e-135,1.0
141.0,0.0,0.0,1.0,1.41680746554e-61
142.0,0.0,0.0,1.0,4.81563786547e-39
143.0,0.0,0.0,1.0,8.97228106042e-46
144.0,0.0,0.0,1.0,2.45340717378e-16
145.0,1.0,0.0,0.999999999999,5.97726678143e-13
146.0,0.0,0.0,1.0,9.72072914006e-129
147.0,0.0,0.0,1.0,4.45007881419e-46
148.0,0.0,0.0,1.0,4.41658806234e-56
149.0,0.0,1.0,1.87382841588e-75,1.0
150.0,1.0,1.0,4.39520593991e-06,0.999995604794
151.0,1.0,0.0,0.991821370339,0.0081786296607
152.0,0.0,0.0,1.0,5.3821728001e-216
153.0,1.0,1.0,1.2759678447e-39,1.0
154.0,0.0,0.0,1.0,1.16903734142e-87
155.0,0.0,0.0,1.0,1.3060648105e-89
156.0,0.0,0.0,1.0,1.25905607355e-77
157.0,0.0,0.0,1.0,1.51496523172e-87
158.0,0.0,0.0,1.0,2.47330251031e-201
159.0,0.0,0.0,1.0,1.04164479453e-75
160.0,0.0,0.0,1.0,5.59026912086e-62
161.0,1.0,1.0,6.92091827863e-71,1.0
162.0,0.0,0.0,1.0,8.66129305522e-137
163.0,0.0,0.0,1.0,2.23108103598e-25
164.0,1.0,1.0,5.66356691635e-33,1.0
165.0,1.0,1.0,3.24393078362e-138,1.0
166.0,1.0,1.0,7.99802560874e-80,1.0
167.0,0.0,1.0,4.74294284232e-10,0.999999999526
168.0,0.0,0.0,1.0,1.10264818048e-71
169.0,1.0,1.0,4.15494361659e-143,1.0
170.0,0.0,1.0,4.30668598057e-22,1.0
171.0,1.0,1.0,1.29949871398e-76,1.0
172.0,0.0,0.0,1.0,1.15240746881e-62
173.0,1.0,1.0,8.13029941321e-164,1.0
174.0,0.0,1.0,4.69672069972e-60,1.0
175.0,1.0,0.0,1.0,1.20506360149e-46
176.0,1.0,0.0,1.0,1.65933700337e-146
177.0,0.0,0.0,1.0,1.05638721977e-25
178.0,1.0,1.0,6.24788070993e-86,1.0
179.0,0.0,0.0,1.0,1.89394525472e-69
180.0,1.0,1.0,1.36850252202e-137,1.0
181.0,1.0,0.0,0.999999992713,7.28747675922e-09
