inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,1.0,0.462182457809,0.537817542191
2.0,0.0,0.0,0.870994509434,0.129005490566
3.0,1.0,1.0,0.0744144895701,0.92558551043
4.0,0.0,1.0,0.3800482922,0.6199517078
5.0,1.0,1.0,0.0744144895701,0.92558551043
6.0,0.0,1.0,0.24054768642,0.75945231358
7.0,1.0,1.0,0.0744144895701,0.92558551043
8.0,0.0,0.0,0.948235596651,0.0517644033487
9.0,0.0,0.0,0.870994509434,0.129005490566
10.0,0.0,0.0,0.948235596651,0.0517644033487
11.0,1.0,1.0,0.0744144895701,0.92558551043
12.0,0.0,0.0,0.958755450316,0.0412445496838
13.0,0.0,0.0,0.948235596651,0.0517644033487
14.0,0.0,0.0,0.985927913827,0.0140720861726
15.0,0.0,0.0,0.870994509434,0.129005490566
16.0,0.0,0.0,0.951195595028,0.0488044049715
17.0,1.0,1.0,0.17907070146,0.82092929854
18.0,0.0,0.0,0.870994509434,0.129005490566
19.0,0.0,0.0,0.981440119333,0.0185598806669
20.0,1.0,1.0,0.0167724463304,0.98322755367
21.0,0.0,0.0,0.951498187381,0.0485018126193
22.0,1.0,1.0,0.0287713099529,0.971228690047
23.0,0.0,0.0,0.958755450316,0.0412445496838
24.0,0.0,0.0,0.870994509434,0.129005490566
25.0,0.0,0.0,0.951195595028,0.0488044049715
26.0,1.0,1.0,0.17907070146,0.82092929854
27.0,0.0,0.0,0.647240756278,0.352759243722
28.0,0.0,0.0,0.870994509434,0.129005490566
29.0,1.0,1.0,0.17907070146,0.82092929854
30.0,0.0,0.0,0.870994509434,0.129005490566
31.0,0.0,0.0,0.870994509434,0.129005490566
32.0,0.0,0.0,0.948235596651,0.0517644033487
33.0,1.0,0.0,0.766516908525,0.233483091475
34.0,0.0,0.0,0.870994509434,0.129005490566
35.0,1.0,1.0,0.24054768642,0.75945231358
36.0,0.0,0.0,0.951498187381,0.0485018126193
37.0,1.0,1.0,0.057424247724,0.942575752276
38.0,0.0,0.0,0.948235596651,0.0517644033487
39.0,1.0,1.0,0.0744144895701,0.92558551043
40.0,1.0,1.0,0.0167724463304,0.98322755367
41.0,1.0,1.0,0.0744144895701,0.92558551043
42.0,1.0,1.0,0.0744144895701,0.92558551043
43.0,1.0,0.0,0.65403589466,0.34596410534
44.0,0.0,0.0,0.948235596651,0.0517644033487
45.0,0.0,0.0,0.958755450316,0.0412445496838
46.0,1.0,1.0,0.078692359387,0.921307640613
47.0,0.0,0.0,0.870994509434,0.129005490566
48.0,0.0,0.0,0.948235596651,0.0517644033487
49.0,1.0,1.0,0.0287713099529,0.971228690047
50.0,1.0,1.0,0.462182457809,0.537817542191
51.0,1.0,1.0,0.0744144895701,0.92558551043
52.0,0.0,0.0,0.951195595028,0.0488044049715
53.0,0.0,0.0,0.951195595028,0.0488044049715
54.0,0.0,0.0,0.870994509434,0.129005490566
55.0,0.0,0.0,0.870994509434,0.129005490566
56.0,1.0,1.0,0.17907070146,0.82092929854
57.0,0.0,0.0,0.948235596651,0.0517644033487
58.0,0.0,0.0,0.951498187381,0.0485018126193
59.0,0.0,0.0,0.951498187381,0.0485018126193
60.0,1.0,0.0,0.65403589466,0.34596410534
61.0,1.0,1.0,0.0744144895701,0.92558551043
62.0,0.0,0.0,0.870994509434,0.129005490566
63.0,1.0,0.0,0.870994509434,0.129005490566
64.0,0.0,0.0,0.951195595028,0.0488044049715
65.0,1.0,1.0,0.17907070146,0.82092929854
66.0,0.0,0.0,0.951195595028,0.0488044049715
67.0,1.0,1.0,0.17907070146,0.82092929854
68.0,1.0,1.0,0.462182457809,0.537817542191
69.0,0.0,0.0,0.951498187381,0.0485018126193
70.0,0.0,0.0,0.951195595028,0.0488044049715
71.0,0.0,0.0,0.678523158076,0.321476841924
72.0,0.0,0.0,0.985927913827,0.0140720861726
73.0,0.0,0.0,0.870994509434,0.129005490566
74.0,0.0,0.0,0.948235596651,0.0517644033487
75.0,0.0,0.0,0.948235596651,0.0517644033487
76.0,1.0,1.0,0.234916117836,0.765083882164
77.0,0.0,0.0,0.951195595028,0.0488044049715
78.0,0.0,0.0,0.866067405185,0.133932594815
79.0,1.0,1.0,0.234916117836,0.765083882164
80.0,1.0,1.0,0.0744144895701,0.92558551043
81.0,1.0,1.0,0.17907070146,0.82092929854
82.0,0.0,0.0,0.985927913827,0.0140720861726
83.0,1.0,1.0,0.0287713099529,0.971228690047
84.0,0.0,1.0,0.462182457809,0.537817542191
85.0,1.0,1.0,0.0744144895701,0.92558551043
86.0,1.0,1.0,0.0744144895701,0.92558551043
87.0,1.0,1.0,0.462182457809,0.537817542191
88.0,1.0,1.0,0.24054768642,0.75945231358
89.0,0.0,0.0,0.870994509434,0.129005490566
90.0,0.0,1.0,0.24054768642,0.75945231358
91.0,0.0,0.0,0.958755450316,0.0412445496838
92.0,0.0,0.0,0.652555156001,0.347444843999
93.0,0.0,0.0,0.951195595028,0.0488044049715
94.0,0.0,0.0,0.948235596651,0.0517644033487
95.0,0.0,0.0,0.870994509434,0.129005490566
96.0,0.0,0.0,0.958755450316,0.0412445496838
97.0,1.0,1.0,0.17907070146,0.82092929854
98.0,0.0,0.0,0.951498187381,0.0485018126193
99.0,1.0,1.0,0.24054768642,0.75945231358
100.0,1.0,1.0,0.0744144895701,0.92558551043
101.0,1.0,1.0,0.0744144895701,0.92558551043
102.0,1.0,0.0,0.766516908525,0.233483091475
103.0,0.0,0.0,0.951195595028,0.0488044049715
104.0,0.0,0.0,0.948235596651,0.0517644033487
105.0,0.0,0.0,0.948235596651,0.0517644033487
106.0,0.0,0.0,0.870994509434,0.129005490566
107.0,0.0,0.0,0.948235596651,0.0517644033487
108.0,1.0,1.0,0.0744144895701,0.92558551043
109.0,0.0,0.0,0.870994509434,0.129005490566
110.0,1.0,1.0,0.00746319924395,0.992536800756
111.0,1.0,1.0,0.17907070146,0.82092929854
112.0,0.0,0.0,0.985927913827,0.0140720861726
113.0,0.0,0.0,0.951195595028,0.0488044049715
114.0,0.0,0.0,0.65403589466,0.34596410534
115.0,1.0,1.0,0.0744144895701,0.92558551043
116.0,0.0,0.0,0.870994509434,0.129005490566
117.0,0.0,0.0,0.870994509434,0.129005490566
118.0,1.0,1.0,0.17907070146,0.82092929854
119.0,1.0,1.0,0.154256532371,0.845743467629
120.0,0.0,0.0,0.870994509434,0.129005490566
121.0,1.0,1.0,0.0167724463304,0.98322755367
122.0,0.0,0.0,0.870994509434,0.129005490566
123.0,1.0,1.0,0.146502920727,0.853497079273
124.0,0.0,1.0,0.462182457809,0.537817542191
125.0,0.0,1.0,0.462182457809,0.537817542191
126.0,0.0,0.0,0.870994509434,0.129005490566
127.0,0.0,0.0,0.870994509434,0.129005490566
128.0,0.0,0.0,0.948235596651,0.0517644033487
129.0,0.0,0.0,0.948235596651,0.0517644033487
130.0,1.0,1.0,0.17907070146,0.82092929854
131.0,1.0,1.0,0.17907070146,0.82092929854
132.0,0.0,0.0,0.638641792795,0.361358207205
133.0,0.0,0.0,0.870994509434,0.129005490566
134.0,1.0,0.0,0.870994509434,0.129005490566
135.0,0.0,0.0,0.870994509434,0.129005490566
136.0,0.0,0.0,0.948235596651,0.0517644033487
137.0,1.0,0.0,0.870994509434,0.129005490566
138.0,0.0,0.0,0.951498187381,0.0485018126193
139.0,1.0,1.0,0.24054768642,0.75945231358
140.0,1.0,1.0,0.462182457809,0.537817542191
141.0,0.0,0.0,0.870994509434,0.129005490566
142.0,0.0,0.0,0.870994509434,0.129005490566
143.0,0.0,0.0,0.870994509434,0.129005490566
144.0,0.0,0.0,0.948235596651,0.0517644033487
145.0,1.0,1.0,0.154256532371,0.845743467629
146.0,0.0,0.0,0.866067405185,0.133932594815
147.0,0.0,0.0,0.870994509434,0.129005490566
148.0,0.0,0.0,0.870994509434,0.129005490566
149.0,0.0,0.0,0.899063917582,0.100936082418
150.0,1.0,1.0,0.24054768642,0.75945231358
151.0,1.0,1.0,0.154256532371,0.845743467629
152.0,0.0,0.0,0.951195595028,0.0488044049715
153.0,1.0,1.0,0.0744144895701,0.92558551043
154.0,0.0,0.0,0.958755450316,0.0412445496838
155.0,0.0,0.0,0.958755450316,0.0412445496838
156.0,0.0,0.0,0.870994509434,0.129005490566
157.0,0.0,0.0,0.652555156001,0.347444843999
158.0,0.0,0.0,0.951498187381,0.0485018126193
159.0,0.0,0.0,0.870994509434,0.129005490566
160.0,0.0,0.0,0.870994509434,0.129005490566
161.0,1.0,1.0,0.394449802683,0.605550197317
162.0,0.0,0.0,0.850699799355,0.149300200645
163.0,0.0,0.0,0.65403589466,0.34596410534
164.0,1.0,1.0,0.0287713099529,0.971228690047
165.0,1.0,1.0,0.17907070146,0.82092929854
166.0,1.0,1.0,0.454538509939,0.545461490061
167.0,0.0,0.0,0.766516908525,0.233483091475
168.0,0.0,0.0,0.870994509434,0.129005490566
169.0,1.0,1.0,0.0744144895701,0.92558551043
170.0,0.0,0.0,0.65403589466,0.34596410534
171.0,1.0,1.0,0.057424247724,0.942575752276
172.0,0.0,0.0,0.870994509434,0.129005490566
173.0,1.0,1.0,0.154256532371,0.845743467629
174.0,0.0,0.0,0.948235596651,0.0517644033487
175.0,1.0,0.0,0.870994509434,0.129005490566
176.0,1.0,1.0,0.164858867961,0.835141132039
177.0,0.0,0.0,0.870994509434,0.129005490566
178.0,1.0,1.0,0.24054768642,0.75945231358
179.0,0.0,0.0,0.870994509434,0.129005490566
180.0,1.0,1.0,0.17907070146,0.82092929854
181.0,1.0,0.0,0.870994509434,0.129005490566
182.0,1.0,1.0,0.0744144895701,0.92558551043
183.0,1.0,0.0,0.652555156001,0.347444843999
184.0,1.0,1.0,0.17907070146,0.82092929854
185.0,1.0,1.0,0.24054768642,0.75945231358
186.0,0.0,0.0,0.948235596651,0.0517644033487
187.0,1.0,1.0,0.24054768642,0.75945231358
188.0,0.0,0.0,0.652555156001,0.347444843999
189.0,0.0,0.0,0.870994509434,0.129005490566
190.0,1.0,1.0,0.17907070146,0.82092929854
191.0,1.0,1.0,0.0744144895701,0.92558551043
192.0,0.0,0.0,0.870994509434,0.129005490566
193.0,0.0,0.0,0.870994509434,0.129005490566
194.0,0.0,0.0,0.958755450316,0.0412445496838
195.0,1.0,1.0,0.17907070146,0.82092929854
196.0,0.0,0.0,0.948235596651,0.0517644033487
197.0,1.0,1.0,0.17907070146,0.82092929854
198.0,0.0,0.0,0.870994509434,0.129005490566
199.0,1.0,1.0,0.16901611966,0.83098388034
200.0,0.0,0.0,0.948235596651,0.0517644033487
201.0,1.0,1.0,0.0744144895701,0.92558551043
202.0,0.0,1.0,0.24054768642,0.75945231358
203.0,1.0,1.0,0.0167724463304,0.98322755367
204.0,1.0,1.0,0.24054768642,0.75945231358
205.0,1.0,1.0,0.462182457809,0.537817542191
206.0,0.0,1.0,0.462182457809,0.537817542191
207.0,1.0,1.0,0.0744144895701,0.92558551043
208.0,1.0,0.0,0.870994509434,0.129005490566
209.0,1.0,1.0,0.154256532371,0.845743467629
210.0,0.0,0.0,0.870994509434,0.129005490566
211.0,1.0,1.0,0.17907070146,0.82092929854
212.0,0.0,0.0,0.951195595028,0.0488044049715
213.0,1.0,1.0,0.0744144895701,0.92558551043
214.0,1.0,1.0,0.0287713099529,0.971228690047
215.0,0.0,0.0,0.870994509434,0.129005490566
216.0,0.0,0.0,0.870994509434,0.129005490566
217.0,0.0,0.0,0.866067405185,0.133932594815
218.0,0.0,0.0,0.951195595028,0.0488044049715
219.0,1.0,1.0,0.462182457809,0.537817542191
220.0,0.0,0.0,0.870994509434,0.129005490566
221.0,1.0,1.0,0.17907070146,0.82092929854
222.0,0.0,1.0,0.387051452155,0.612948547845
223.0,0.0,1.0,0.24054768642,0.75945231358
224.0,1.0,1.0,0.057424247724,0.942575752276
225.0,0.0,1.0,0.17907070146,0.82092929854
226.0,0.0,0.0,0.870994509434,0.129005490566
227.0,1.0,1.0,0.0744144895701,0.92558551043
228.0,0.0,0.0,0.958755450316,0.0412445496838
229.0,0.0,0.0,0.870994509434,0.129005490566
230.0,1.0,1.0,0.17907070146,0.82092929854
231.0,0.0,0.0,0.870994509434,0.129005490566
232.0,0.0,0.0,0.948235596651,0.0517644033487
233.0,1.0,0.0,0.870994509434,0.129005490566
234.0,0.0,0.0,0.948235596651,0.0517644033487
235.0,1.0,1.0,0.0744144895701,0.92558551043
236.0,1.0,1.0,0.17907070146,0.82092929854
237.0,1.0,1.0,0.057424247724,0.942575752276
238.0,1.0,1.0,0.0744144895701,0.92558551043
239.0,0.0,0.0,0.766516908525,0.233483091475
240.0,0.0,0.0,0.870994509434,0.129005490566
241.0,1.0,1.0,0.0167724463304,0.98322755367
242.0,0.0,0.0,0.866067405185,0.133932594815
243.0,0.0,0.0,0.948235596651,0.0517644033487
244.0,0.0,0.0,0.870994509434,0.129005490566
245.0,0.0,0.0,0.870994509434,0.129005490566
246.0,0.0,0.0,0.870994509434,0.129005490566
247.0,1.0,0.0,0.613158705371,0.386841294629
248.0,1.0,1.0,0.24054768642,0.75945231358
249.0,0.0,0.0,0.870994509434,0.129005490566
250.0,0.0,0.0,0.65403589466,0.34596410534
251.0,0.0,0.0,0.870994509434,0.129005490566
252.0,1.0,1.0,0.462182457809,0.537817542191
253.0,0.0,0.0,0.870994509434,0.129005490566
254.0,0.0,0.0,0.951498187381,0.0485018126193
255.0,0.0,1.0,0.17907070146,0.82092929854
256.0,0.0,0.0,0.958755450316,0.0412445496838
257.0,0.0,0.0,0.870994509434,0.129005490566
258.0,1.0,1.0,0.24054768642,0.75945231358
259.0,0.0,0.0,0.951195595028,0.0488044049715
260.0,1.0,1.0,0.462182457809,0.537817542191
261.0,0.0,0.0,0.899063917582,0.100936082418
262.0,1.0,1.0,0.154256532371,0.845743467629
263.0,0.0,0.0,0.870994509434,0.129005490566
264.0,1.0,1.0,0.16901611966,0.83098388034
265.0,1.0,1.0,0.24054768642,0.75945231358
266.0,0.0,0.0,0.870994509434,0.129005490566
