inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.866666666667,0.133333333333
2.0,0.0,0.0,0.888571428571,0.111428571429
3.0,1.0,1.0,0.0879120879121,0.912087912088
4.0,0.0,1.0,0.25,0.75
5.0,1.0,1.0,0.0933333333333,0.906666666667
6.0,0.0,0.0,0.9,0.1
7.0,1.0,1.0,0.0933333333333,0.906666666667
8.0,0.0,0.0,0.888571428571,0.111428571429
9.0,0.0,0.0,0.888571428571,0.111428571429
10.0,0.0,0.0,0.888571428571,0.111428571429
11.0,1.0,0.0,0.866666666667,0.133333333333
12.0,0.0,0.0,0.888571428571,0.111428571429
13.0,0.0,0.0,0.888571428571,0.111428571429
14.0,0.0,0.0,0.991666666667,0.00833333333333
15.0,0.0,0.0,0.888571428571,0.111428571429
16.0,0.0,0.0,0.991666666667,0.00833333333333
17.0,1.0,1.0,0.0879120879121,0.912087912088
18.0,0.0,0.0,0.888571428571,0.111428571429
19.0,0.0,0.0,0.991666666667,0.00833333333333
20.0,1.0,1.0,0.0933333333333,0.906666666667
21.0,0.0,0.0,0.991666666667,0.00833333333333
22.0,1.0,1.0,0.0933333333333,0.906666666667
23.0,0.0,0.0,1.0,0.0
24.0,0.0,0.0,0.888571428571,0.111428571429
25.0,0.0,0.0,0.991666666667,0.00833333333333
26.0,1.0,1.0,0.0879120879121,0.912087912088
27.0,0.0,0.0,0.991666666667,0.00833333333333
28.0,0.0,0.0,0.888571428571,0.111428571429
29.0,1.0,1.0,0.0879120879121,0.912087912088
30.0,0.0,0.0,0.888571428571,0.111428571429
31.0,0.0,0.0,0.991666666667,0.00833333333333
32.0,0.0,0.0,0.888571428571,0.111428571429
33.0,1.0,0.0,0.888571428571,0.111428571429
34.0,0.0,0.0,0.888571428571,0.111428571429
35.0,1.0,1.0,0.0933333333333,0.906666666667
36.0,0.0,0.0,0.991666666667,0.00833333333333
37.0,1.0,1.0,0.0933333333333,0.906666666667
38.0,0.0,0.0,0.888571428571,0.111428571429
39.0,1.0,1.0,0.0879120879121,0.912087912088
40.0,1.0,1.0,0.0933333333333,0.906666666667
41.0,1.0,1.0,0.0933333333333,0.906666666667
42.0,1.0,1.0,0.0879120879121,0.912087912088
43.0,1.0,0.0,0.888571428571,0.111428571429
44.0,0.0,0.0,0.888571428571,0.111428571429
45.0,0.0,0.0,0.888571428571,0.111428571429
46.0,1.0,1.0,0.027027027027,0.972972972973
47.0,0.0,0.0,0.888571428571,0.111428571429
48.0,0.0,0.0,0.888571428571,0.111428571429
49.0,1.0,1.0,0.0933333333333,0.906666666667
50.0,1.0,1.0,0.0879120879121,0.912087912088
51.0,1.0,1.0,0.0933333333333,0.906666666667
52.0,0.0,0.0,0.991666666667,0.00833333333333
53.0,0.0,0.0,0.991666666667,0.00833333333333
54.0,0.0,0.0,0.888571428571,0.111428571429
55.0,0.0,0.0,0.888571428571,0.111428571429
56.0,1.0,1.0,0.0879120879121,0.912087912088
57.0,0.0,0.0,0.888571428571,0.111428571429
58.0,0.0,0.0,0.991666666667,0.00833333333333
59.0,0.0,0.0,0.991666666667,0.00833333333333
60.0,1.0,0.0,0.888571428571,0.111428571429
61.0,1.0,1.0,0.0879120879121,0.912087912088
62.0,0.0,0.0,0.888571428571,0.111428571429
63.0,1.0,0.0,0.888571428571,0.111428571429
64.0,0.0,0.0,0.991666666667,0.00833333333333
65.0,1.0,1.0,0.0879120879121,0.912087912088
66.0,0.0,0.0,0.991666666667,0.00833333333333
67.0,1.0,1.0,0.0879120879121,0.912087912088
68.0,1.0,1.0,0.0879120879121,0.912087912088
69.0,0.0,0.0,0.991666666667,0.00833333333333
70.0,0.0,0.0,0.991666666667,0.00833333333333
71.0,0.0,1.0,0.25,0.75
72.0,0.0,0.0,0.991666666667,0.00833333333333
73.0,0.0,0.0,0.888571428571,0.111428571429
74.0,0.0,0.0,0.888571428571,0.111428571429
75.0,0.0,0.0,0.888571428571,0.111428571429
76.0,1.0,1.0,0.027027027027,0.972972972973
77.0,0.0,0.0,0.991666666667,0.00833333333333
78.0,0.0,0.0,0.991666666667,0.00833333333333
79.0,1.0,1.0,0.027027027027,0.972972972973
80.0,1.0,1.0,0.0933333333333,0.906666666667
81.0,1.0,1.0,0.0879120879121,0.912087912088
82.0,0.0,0.0,0.991666666667,0.00833333333333
83.0,1.0,1.0,0.0933333333333,0.906666666667
84.0,0.0,0.0,0.833333333333,0.166666666667
85.0,1.0,1.0,0.0933333333333,0.906666666667
86.0,1.0,1.0,0.0933333333333,0.906666666667
87.0,1.0,1.0,0.0879120879121,0.912087912088
88.0,1.0,1.0,0.0933333333333,0.906666666667
