inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,0.968944508707,0.0310554912934
2.0,1.0,1.0,0.0817421622323,0.918257837768
3.0,1.0,0.0,0.555564626462,0.444435373538
4.0,0.0,0.0,0.9822189591,0.0177810408998
5.0,0.0,0.0,0.978907723536,0.0210922764636
6.0,0.0,0.0,0.974110052467,0.0258899475326
7.0,1.0,1.0,0.0548918604098,0.94510813959
8.0,0.0,0.0,0.956813090182,0.0431869098177
9.0,1.0,1.0,0.120045965932,0.879954034068
10.0,1.0,1.0,0.405538420412,0.594461579588
11.0,0.0,0.0,0.803212927056,0.196787072944
12.0,0.0,0.0,0.886739361674,0.113260638326
13.0,0.0,0.0,0.989568535623,0.0104314643773
14.0,0.0,0.0,0.985990298004,0.0140097019964
15.0,0.0,0.0,0.889992784569,0.110007215431
16.0,1.0,1.0,0.0518010775377,0.948198922462
17.0,0.0,0.0,0.984610032453,0.0153899675469
18.0,1.0,1.0,0.245333030563,0.754666969437
19.0,0.0,0.0,0.984610032453,0.0153899675469
20.0,0.0,0.0,0.985990298004,0.0140097019964
21.0,1.0,1.0,0.0606166947571,0.939383305243
22.0,0.0,0.0,0.892146363068,0.107853636932
23.0,0.0,0.0,0.989568535623,0.0104314643773
24.0,1.0,1.0,0.213873469206,0.786126530794
25.0,0.0,0.0,0.976608721713,0.0233912782875
26.0,0.0,0.0,0.985304554876,0.0146954451236
27.0,0.0,0.0,0.985990298004,0.0140097019964
28.0,0.0,0.0,0.680962983549,0.319037016451
29.0,0.0,0.0,0.972509750274,0.0274902497258
30.0,1.0,1.0,0.0662721228277,0.933727877172
31.0,0.0,0.0,0.985304554876,0.0146954451236
32.0,0.0,0.0,0.943993271829,0.0560067281711
33.0,0.0,0.0,0.879743022771,0.120256977229
34.0,1.0,1.0,0.0358029878618,0.964197012138
35.0,0.0,0.0,0.9822189591,0.0177810408998
36.0,0.0,0.0,0.985990298004,0.0140097019964
37.0,0.0,0.0,0.980964964078,0.019035035922
38.0,1.0,1.0,0.0567745716535,0.943225428347
39.0,0.0,0.0,0.789782839935,0.210217160065
40.0,1.0,1.0,0.0620301448821,0.937969855118
41.0,1.0,1.0,0.0679307499991,0.932069250001
42.0,0.0,0.0,0.985990298004,0.0140097019964
43.0,1.0,1.0,0.0303804901495,0.96961950985
44.0,0.0,0.0,0.989568535623,0.0104314643773
45.0,1.0,1.0,0.0438281979458,0.956171802054
46.0,1.0,1.0,0.41695425503,0.58304574497
47.0,1.0,0.0,0.779657584343,0.220342415657
48.0,0.0,0.0,0.891890173664,0.108109826336
49.0,0.0,0.0,0.980048407947,0.0199515920529
50.0,1.0,1.0,0.0748286009545,0.925171399045
51.0,0.0,1.0,0.333180188835,0.666819811165
52.0,0.0,0.0,0.982199839004,0.0178001609961
53.0,0.0,0.0,0.989568535623,0.0104314643773
54.0,0.0,0.0,0.984417800472,0.0155821995279
55.0,0.0,0.0,0.972215415844,0.0277845841559
56.0,0.0,0.0,0.968944508707,0.0310554912934
57.0,0.0,0.0,0.989568535623,0.0104314643773
58.0,1.0,1.0,0.0303804901495,0.96961950985
59.0,1.0,1.0,0.0467012592848,0.953298740715
60.0,0.0,0.0,0.972509750274,0.0274902497258
61.0,1.0,1.0,0.0602424664629,0.939757533537
62.0,0.0,1.0,0.335743464052,0.664256535948
63.0,0.0,0.0,0.595558052476,0.404441947524
64.0,1.0,1.0,0.078566704383,0.921433295617
65.0,0.0,0.0,0.897039432744,0.102960567256
66.0,0.0,1.0,0.329591940954,0.670408059046
67.0,0.0,0.0,0.971483190556,0.0285168094442
68.0,0.0,0.0,0.773379611093,0.226620388907
69.0,0.0,0.0,0.978907723536,0.0210922764636
70.0,1.0,1.0,0.0384574132265,0.961542586774
71.0,1.0,1.0,0.144449843956,0.855550156044
72.0,0.0,0.0,0.886445239287,0.113554760713
73.0,0.0,0.0,0.969737812928,0.0302621870721
74.0,1.0,1.0,0.0303804901495,0.96961950985
75.0,1.0,1.0,0.246338755199,0.753661244801
76.0,1.0,1.0,0.0441486291486,0.955851370851
77.0,1.0,1.0,0.171020816709,0.828979183291
78.0,0.0,0.0,0.9822189591,0.0177810408998
79.0,0.0,0.0,0.985304554876,0.0146954451236
80.0,0.0,0.0,0.989568535623,0.0104314643773
81.0,0.0,0.0,0.989568535623,0.0104314643773
82.0,0.0,0.0,0.978907723536,0.0210922764636
83.0,0.0,0.0,0.584286199834,0.415713800166
84.0,1.0,1.0,0.0376377217554,0.962362278245
85.0,0.0,0.0,0.989568535623,0.0104314643773
86.0,1.0,1.0,0.0548918604098,0.94510813959
87.0,1.0,1.0,0.0526332963351,0.947366703665
88.0,0.0,1.0,0.326759433904,0.673240566096
89.0,0.0,0.0,0.978652410813,0.0213475891873
90.0,0.0,0.0,0.989568535623,0.0104314643773
91.0,0.0,0.0,0.9822189591,0.0177810408998
92.0,1.0,1.0,0.149547304483,0.850452695517
93.0,0.0,0.0,0.984484943673,0.0155150563273
94.0,1.0,1.0,0.171259835201,0.828740164799
95.0,0.0,0.0,0.949463660449,0.050536339551
96.0,1.0,1.0,0.0383806128062,0.961619387194
97.0,1.0,1.0,0.254524454016,0.745475545984
98.0,1.0,1.0,0.234092003741,0.765907996259
99.0,0.0,0.0,0.985304554876,0.0146954451236
100.0,0.0,0.0,0.985797196719,0.0142028032806
101.0,1.0,0.0,0.984417800472,0.0155821995279
102.0,1.0,1.0,0.166116715832,0.833883284168
103.0,0.0,0.0,0.985990298004,0.0140097019964
104.0,1.0,1.0,0.0259779744263,0.974022025574
105.0,0.0,0.0,0.68296063168,0.31703936832
106.0,0.0,0.0,0.936525057362,0.0634749426381
107.0,1.0,1.0,0.0669765101379,0.933023489862
108.0,0.0,0.0,0.989568535623,0.0104314643773
109.0,1.0,1.0,0.144263155128,0.855736844872
110.0,0.0,0.0,0.989568535623,0.0104314643773
111.0,0.0,0.0,0.969737812928,0.0302621870721
112.0,0.0,0.0,0.887232490386,0.112767509614
113.0,0.0,0.0,0.97966746309,0.0203325369098
114.0,0.0,1.0,0.251086485443,0.748913514557
115.0,1.0,1.0,0.0376377217554,0.962362278245
116.0,0.0,0.0,0.979520244854,0.0204797551464
117.0,1.0,1.0,0.206679128268,0.793320871732
118.0,1.0,1.0,0.0361597117697,0.96384028823
119.0,1.0,1.0,0.147647527052,0.852352472948
120.0,0.0,0.0,0.989568535623,0.0104314643773
121.0,1.0,1.0,0.20172017797,0.79827982203
122.0,0.0,0.0,0.974110052467,0.0258899475326
123.0,1.0,1.0,0.025043394987,0.974956605013
124.0,0.0,0.0,0.989568535623,0.0104314643773
125.0,0.0,0.0,0.967125271615,0.0328747283853
126.0,1.0,1.0,0.389407742413,0.610592257587
127.0,0.0,0.0,0.897039432744,0.102960567256
128.0,0.0,0.0,0.754490979721,0.245509020279
129.0,0.0,0.0,0.97642246093,0.0235775390695
130.0,1.0,1.0,0.0644828590639,0.935517140936
131.0,1.0,1.0,0.15843915592,0.84156084408
132.0,0.0,0.0,0.989568535623,0.0104314643773
133.0,1.0,1.0,0.130379497214,0.869620502786
134.0,1.0,1.0,0.0758561122229,0.924143887777
135.0,0.0,0.0,0.870325342778,0.129674657222
136.0,0.0,0.0,0.985304554876,0.0146954451236
137.0,0.0,0.0,0.976246942005,0.0237530579951
138.0,1.0,1.0,0.493757101196,0.506242898804
139.0,1.0,1.0,0.0519246387718,0.948075361228
140.0,1.0,1.0,0.25985701848,0.74014298152
141.0,1.0,1.0,0.248207017444,0.751792982556
142.0,0.0,0.0,0.717455459524,0.282544540476
143.0,1.0,1.0,0.078566704383,0.921433295617
144.0,0.0,0.0,0.84577558323,0.15422441677
145.0,0.0,0.0,0.984417800472,0.0155821995279
146.0,0.0,0.0,0.9822189591,0.0177810408998
147.0,0.0,1.0,0.398187236833,0.601812763167
148.0,0.0,0.0,0.679962983549,0.320037016451
149.0,1.0,1.0,0.342018978906,0.657981021094
150.0,1.0,1.0,0.239578804076,0.760421195924
151.0,1.0,1.0,0.0309997861078,0.969000213892
152.0,1.0,1.0,0.0548918604098,0.94510813959
153.0,1.0,1.0,0.0291649237225,0.970835076278
154.0,0.0,0.0,0.971110040296,0.0288899597042
155.0,0.0,0.0,0.973675269859,0.0263247301413
156.0,1.0,0.0,0.550290340621,0.449709659379
157.0,0.0,0.0,0.978553242656,0.0214467573444
158.0,0.0,0.0,0.985910479929,0.0140895200713
159.0,0.0,0.0,0.989033776264,0.0109662237356
160.0,0.0,0.0,0.989568535623,0.0104314643773
161.0,0.0,0.0,0.972572196719,0.0274278032806
162.0,0.0,0.0,0.986525057362,0.0134749426381
163.0,0.0,0.0,0.989568535623,0.0104314643773
164.0,0.0,0.0,0.765441898068,0.234558101932
165.0,0.0,0.0,0.836987724119,0.163012275881
166.0,0.0,0.0,0.985797196719,0.0142028032806
167.0,0.0,0.0,0.988381480275,0.0116185197252
168.0,0.0,0.0,0.984417800472,0.0155821995279
169.0,0.0,0.0,0.974110052467,0.0258899475326
170.0,0.0,0.0,0.876599054835,0.123400945165
171.0,1.0,1.0,0.207802590898,0.792197409102
172.0,1.0,1.0,0.252978778795,0.747021221205
173.0,0.0,1.0,0.431854062832,0.568145937168
174.0,1.0,1.0,0.15777662125,0.84222337875
175.0,0.0,0.0,0.640692507233,0.359307492767
176.0,0.0,0.0,0.989568535623,0.0104314643773
177.0,1.0,1.0,0.0259779744263,0.974022025574
178.0,0.0,0.0,0.9822189591,0.0177810408998
179.0,0.0,0.0,0.989568535623,0.0104314643773
180.0,1.0,1.0,0.0441486291486,0.955851370851
181.0,0.0,0.0,0.97464778197,0.02535221803
182.0,0.0,1.0,0.147198578832,0.852801421168
183.0,0.0,0.0,0.989568535623,0.0104314643773
184.0,0.0,0.0,0.989568535623,0.0104314643773
185.0,1.0,1.0,0.0499395043005,0.950060495699
186.0,1.0,1.0,0.249343572817,0.750656427183
187.0,1.0,1.0,0.0259779744263,0.974022025574
188.0,1.0,1.0,0.0259779744263,0.974022025574
189.0,0.0,0.0,0.51959043453,0.48040956547
190.0,0.0,0.0,0.699601042028,0.300398957972
191.0,0.0,0.0,0.989568535623,0.0104314643773
192.0,0.0,0.0,0.740827982717,0.259172017283
193.0,0.0,0.0,0.966544508707,0.0334554912934
194.0,0.0,0.0,0.919263911038,0.080736088962
195.0,0.0,0.0,0.989568535623,0.0104314643773
196.0,0.0,0.0,0.990317599293,0.00968240070686
197.0,0.0,1.0,0.0564777633709,0.943522236629
198.0,0.0,0.0,0.976546513584,0.0234534864163
199.0,0.0,0.0,0.989568535623,0.0104314643773
200.0,0.0,0.0,0.9822189591,0.0177810408998
201.0,1.0,1.0,0.0259779744263,0.974022025574
202.0,0.0,0.0,0.989568535623,0.0104314643773
203.0,1.0,0.0,0.976608721713,0.0233912782875
204.0,0.0,1.0,0.401093975967,0.598906024033
205.0,0.0,0.0,0.985990298004,0.0140097019964
206.0,0.0,0.0,0.890496020297,0.109503979703
207.0,1.0,1.0,0.157890865173,0.842109134827
208.0,1.0,1.0,0.0559285283069,0.944071471693
209.0,0.0,0.0,0.987232490386,0.012767509614
210.0,1.0,1.0,0.137637721755,0.862362278245
211.0,1.0,1.0,0.402032537355,0.597967462645
212.0,1.0,0.0,0.699555667621,0.300444332379
213.0,0.0,0.0,0.985304554876,0.0146954451236
214.0,1.0,1.0,0.0259779744263,0.974022025574
215.0,0.0,0.0,0.886739361674,0.113260638326
216.0,0.0,0.0,0.9822189591,0.0177810408998
217.0,1.0,1.0,0.481341605322,0.518658394678
218.0,1.0,1.0,0.0415211898199,0.95847881018
219.0,0.0,0.0,0.977474449093,0.0225255509067
220.0,0.0,0.0,0.985304554876,0.0146954451236
221.0,1.0,1.0,0.0300652066686,0.969934793331
222.0,0.0,0.0,0.633946048791,0.366053951209
223.0,0.0,1.0,0.150244853713,0.849755146287
224.0,0.0,0.0,0.985990298004,0.0140097019964
225.0,1.0,1.0,0.153167264723,0.846832735277
226.0,1.0,1.0,0.246681101793,0.753318898207
227.0,0.0,0.0,0.818657299055,0.181342700945
228.0,0.0,0.0,0.989568535623,0.0104314643773
229.0,1.0,1.0,0.174563500929,0.825436499071
230.0,0.0,0.0,0.986739361674,0.013260638326
231.0,0.0,0.0,0.989568535623,0.0104314643773
232.0,0.0,0.0,0.985990298004,0.0140097019964
233.0,0.0,0.0,0.989174784496,0.0108252155039
234.0,0.0,1.0,0.404891363312,0.595108636688
235.0,0.0,0.0,0.895160300809,0.104839699191
236.0,1.0,1.0,0.0457769776224,0.954223022378
237.0,0.0,0.0,0.890930802906,0.109069197094
238.0,1.0,1.0,0.0711971447782,0.928802855222
239.0,1.0,1.0,0.304540886606,0.695459113394
240.0,0.0,0.0,0.691023693927,0.308976306073
241.0,1.0,0.0,0.810481465583,0.189518534417
242.0,0.0,0.0,0.96951399669,0.0304860033101
243.0,1.0,0.0,0.985990298004,0.0140097019964
244.0,0.0,0.0,0.973110052467,0.0268899475326
245.0,1.0,1.0,0.0473635109404,0.95263648906
246.0,1.0,1.0,0.0377575143609,0.962242485639
247.0,0.0,0.0,0.953872852966,0.0461271470341
248.0,0.0,0.0,0.985990298004,0.0140097019964
249.0,0.0,0.0,0.973675269859,0.0263247301413
250.0,1.0,1.0,0.205299148484,0.794700851516
251.0,0.0,0.0,0.989568535623,0.0104314643773
252.0,1.0,1.0,0.158320557317,0.841679442683
253.0,1.0,1.0,0.0435678757744,0.956432124226
254.0,0.0,0.0,0.958560636896,0.0414393631044
255.0,0.0,0.0,0.677499371338,0.322500628662
256.0,1.0,1.0,0.0300652066686,0.969934793331
257.0,0.0,0.0,0.956813090182,0.0431869098177
258.0,0.0,0.0,0.985304554876,0.0146954451236
259.0,0.0,0.0,0.989568535623,0.0104314643773
260.0,1.0,1.0,0.159880334818,0.840119665182
261.0,0.0,0.0,0.9822189591,0.0177810408998
262.0,1.0,1.0,0.205299148484,0.794700851516
263.0,1.0,1.0,0.0600215152139,0.939978484786
264.0,0.0,0.0,0.969737812928,0.0302621870721
265.0,0.0,0.0,0.97912878797,0.0208712120296
266.0,1.0,1.0,0.416292735043,0.583707264957
267.0,1.0,1.0,0.0577722669038,0.942227733096
268.0,0.0,0.0,0.975436276184,0.0245637238164
269.0,0.0,0.0,0.868577796065,0.131422203935
270.0,0.0,0.0,0.664571164867,0.335428835133
271.0,1.0,0.0,0.52731664692,0.47268335308
272.0,0.0,0.0,0.973675269859,0.0263247301413
273.0,0.0,0.0,0.989568535623,0.0104314643773
274.0,0.0,0.0,0.9689939591,0.0310060408998
275.0,1.0,1.0,0.036685340803,0.963314659197
276.0,0.0,0.0,0.973675269859,0.0263247301413
