inst_index,actual_class,predicted_class,distribution_0,distribution_1
1.0,0.0,0.0,1.0,5.52781778431e-95
2.0,1.0,1.0,1.50254023632e-127,1.0
3.0,1.0,0.0,1.0,1.67419687283e-117
4.0,0.0,0.0,1.0,2.55213308138e-106
5.0,0.0,0.0,1.0,1.28752647066e-50
6.0,0.0,0.0,1.0,1.32540502839e-71
7.0,1.0,1.0,3.65467221962e-46,1.0
8.0,0.0,0.0,1.0,8.20640289434e-114
9.0,1.0,1.0,1.42224150637e-190,1.0
10.0,1.0,1.0,8.4045991359e-35,1.0
11.0,0.0,1.0,6.80835916717e-22,1.0
12.0,0.0,0.0,1.0,1.38257031831e-115
13.0,0.0,0.0,1.0,2.99342580498e-121
14.0,0.0,0.0,1.0,3.18146267513e-106
15.0,0.0,0.0,1.0,3.64138151743e-116
16.0,1.0,1.0,1.26028321142e-24,1.0
17.0,0.0,0.0,1.0,4.3903154035e-94
18.0,1.0,1.0,1.43791550123e-47,1.0
19.0,0.0,0.0,1.0,1.66266323641e-85
20.0,0.0,0.0,1.0,3.92578695898e-106
21.0,1.0,1.0,5.93039297472e-84,1.0
22.0,0.0,0.0,1.0,1.32630810045e-37
23.0,0.0,0.0,1.0,5.36166154929e-118
24.0,1.0,1.0,1.7623709468e-183,1.0
25.0,0.0,0.0,1.0,1.20748712099e-59
26.0,0.0,0.0,1.0,9.55840016675e-181
27.0,0.0,0.0,1.0,3.35134617923e-104
28.0,0.0,0.0,1.0,2.48030460196e-40
29.0,0.0,0.0,1.0,1.03511294768e-79
30.0,1.0,0.0,0.984108126914,0.0158918730857
31.0,0.0,0.0,1.0,3.55241280713e-162
32.0,0.0,0.0,1.0,1.3565617908e-49
33.0,0.0,1.0,7.50416027941e-11,0.999999999925
34.0,1.0,1.0,2.61279722992e-141,1.0
35.0,0.0,0.0,1.0,7.49937175041e-104
36.0,0.0,0.0,1.0,5.42734228455e-112
37.0,0.0,0.0,1.0,4.85642504139e-91
38.0,1.0,1.0,5.7472665214e-55,1.0
39.0,0.0,0.0,1.0,4.41587181071e-114
40.0,1.0,1.0,5.45677461152e-110,1.0
41.0,1.0,1.0,4.9086258339e-49,1.0
42.0,0.0,0.0,1.0,1.49849636074e-104
43.0,1.0,1.0,4.94854370276e-196,1.0
44.0,0.0,0.0,1.0,3.62984878628e-122
45.0,1.0,1.0,9.47500927775e-110,1.0
46.0,1.0,1.0,6.20243981427e-22,1.0
47.0,1.0,0.0,1.0,2.43008845732e-115
48.0,0.0,0.0,1.0,3.20507330335e-18
49.0,0.0,0.0,1.0,5.74894788715e-65
50.0,1.0,1.0,1.67540883075e-124,1.0
51.0,0.0,1.0,1.8142756003e-150,1.0
52.0,0.0,0.0,1.0,4.41839453015e-42
53.0,0.0,0.0,1.0,5.7021900096e-122
54.0,0.0,0.0,1.0,1.57778768914e-125
55.0,0.0,0.0,1.0,4.80087494153e-54
56.0,0.0,0.0,1.0,5.090783246e-101
57.0,0.0,0.0,1.0,7.45961905689e-122
58.0,1.0,1.0,3.84270443272e-193,1.0
59.0,1.0,1.0,1.05790435551e-133,1.0
60.0,0.0,0.0,1.0,2.07512098003e-81
61.0,1.0,1.0,2.04713802493e-213,1.0
62.0,0.0,1.0,1.08627881825e-39,1.0
63.0,0.0,1.0,1.25527055733e-34,1.0
64.0,1.0,1.0,3.23951986829e-146,1.0
65.0,0.0,0.0,1.0,6.00638683348e-18
66.0,0.0,1.0,2.44556011096e-114,1.0
67.0,0.0,0.0,1.0,9.34509039626e-47
68.0,0.0,0.0,1.0,7.32977175383e-64
69.0,0.0,0.0,1.0,7.38993786499e-74
70.0,1.0,1.0,1.52444080281e-188,1.0
71.0,1.0,1.0,4.74109694677e-92,1.0
72.0,0.0,0.0,1.0,9.14087518376e-127
73.0,0.0,0.0,1.0,5.49130244183e-113
74.0,1.0,1.0,2.07299237601e-196,1.0
75.0,1.0,0.0,1.0,7.948106602e-61
76.0,1.0,0.0,1.0,4.37402239873e-48
77.0,1.0,1.0,1.11693134778e-137,1.0
78.0,0.0,0.0,1.0,6.30779368451e-109
79.0,0.0,0.0,1.0,2.95520482491e-180
80.0,0.0,0.0,1.0,2.69801507779e-119
81.0,0.0,0.0,1.0,4.09695261999e-121
82.0,0.0,0.0,1.0,4.61376834146e-54
83.0,0.0,0.0,1.0,3.51891424705e-113
84.0,1.0,1.0,1.15405797623e-125,1.0
85.0,0.0,0.0,1.0,3.99104393019e-119
86.0,1.0,1.0,2.0216135628e-46,1.0
87.0,1.0,1.0,1.73216055942e-185,1.0
88.0,0.0,1.0,1.18719334056e-78,1.0
89.0,0.0,0.0,1.0,3.18814841705e-98
90.0,0.0,0.0,1.0,9.60765608469e-119
91.0,0.0,0.0,1.0,5.6508252053e-91
92.0,1.0,1.0,3.83575338644e-42,1.0
93.0,0.0,0.0,1.0,4.54236839178e-118
94.0,1.0,0.0,1.0,9.97887342639e-56
95.0,0.0,0.0,1.0,1.59339473919e-110
96.0,1.0,1.0,6.7807426805e-125,1.0
97.0,1.0,1.0,8.54204191805e-85,1.0
98.0,1.0,1.0,1.56171783845e-89,1.0
99.0,0.0,0.0,1.0,1.42089083137e-182
100.0,0.0,0.0,1.0,1.99792947913e-100
101.0,1.0,0.0,1.0,2.44700172587e-129
102.0,1.0,1.0,2.95826451857e-93,1.0
103.0,0.0,0.0,1.0,5.4212374295e-121
104.0,1.0,1.0,1.82745037695e-197,1.0
105.0,0.0,0.0,1.0,1.53786936517e-101
106.0,0.0,0.0,1.0,1.42969150127e-105
107.0,1.0,1.0,3.28320308302e-15,1.0
108.0,0.0,0.0,1.0,4.251301889e-122
109.0,1.0,1.0,6.15347812112e-98,1.0
110.0,0.0,0.0,1.0,6.15067061671e-110
111.0,0.0,0.0,1.0,2.4182865571e-115
112.0,0.0,0.0,1.0,1.92622087675e-134
113.0,0.0,0.0,1.0,6.95497125465e-172
114.0,0.0,1.0,1.2364245049e-38,1.0
115.0,1.0,1.0,1.3720143088e-144,1.0
116.0,0.0,0.0,1.0,6.78717593993e-110
117.0,1.0,1.0,3.81914817753e-114,1.0
118.0,1.0,1.0,1.06459528001e-186,1.0
119.0,1.0,1.0,5.07467810101e-191,1.0
120.0,0.0,0.0,1.0,1.93292329342e-119
121.0,1.0,0.0,1.0,1.40922240569e-73
122.0,0.0,0.0,1.0,4.58934239265e-72
123.0,1.0,1.0,8.59185559565e-198,1.0
124.0,0.0,0.0,1.0,4.70767765188e-119
125.0,0.0,0.0,1.0,3.71947573359e-96
126.0,1.0,1.0,2.2066299356e-26,1.0
127.0,0.0,0.0,1.0,1.7802618133e-87
128.0,0.0,1.0,0.0995586801013,0.900441319899
129.0,0.0,0.0,1.0,5.21957423734e-137
130.0,1.0,1.0,2.79325149457e-132,1.0
131.0,1.0,1.0,9.31234583469e-126,1.0
132.0,0.0,0.0,1.0,6.60270634125e-113
133.0,1.0,1.0,1.24678906658e-155,1.0
134.0,1.0,1.0,3.52215442816e-139,1.0
135.0,0.0,0.0,1.0,1.75141389111e-113
